epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20.1143,1.28702,3.63072,1.74644,0.58488,0.85,0.84567,0.63913,1.63031,1.09729,1.37657,0,0,0,0,0,0,0,0
2,21.6232,1.03597,2.8416,1.40557,0.56616,0.85,0.84752,0.63946,1.64406,1.08419,1.37768,3.49931e-06,1.16644e-06,3.49931e-06,1.16644e-06,3.49931e-06,1.16644e-06,3.49931e-06,1.16644e-06
3,23.0586,1.38164,4.32197,1.54427,0.56262,0.85,0.84799,0.6392,1.65053,1.07699,1.37673,6.85726e-06,2.28575e-06,6.85726e-06,2.28575e-06,6.85726e-06,2.28575e-06,6.85726e-06,2.28575e-06
4,25.6715,1.23876,2.44973,1.38451,0.55964,0.85,0.80769,0.61446,1.65446,1.06308,1.37484,1.00738e-05,3.35794e-06,1.00738e-05,3.35794e-06,1.00738e-05,3.35794e-06,1.00738e-05,3.35794e-06
5,27.1673,1.415,2.93425,1.62913,0.56156,0.85,0.80822,0.61444,1.65064,1.06274,1.36865,1.3149e-05,4.38301e-06,1.3149e-05,4.38301e-06,1.3149e-05,4.38301e-06,1.3149e-05,4.38301e-06
6,28.4493,0.9171,2.2456,1.31685,0.53611,0.85,0.80895,0.61996,1.64375,1.06648,1.36116,1.60828e-05,5.36095e-06,1.60828e-05,5.36095e-06,1.60828e-05,5.36095e-06,1.60828e-05,5.36095e-06
7,29.8278,1.56331,3.28402,1.67542,0.62872,0.92894,0.87354,0.62639,1.65102,1.07127,1.36209,1.88753e-05,6.29177e-06,1.88753e-05,6.29177e-06,1.88753e-05,6.29177e-06,1.88753e-05,6.29177e-06
8,31.2056,1.57044,3.83235,1.89964,0.62551,0.92664,0.87356,0.62585,1.656,1.05604,1.36119,2.15264e-05,7.17546e-06,2.15264e-05,7.17546e-06,2.15264e-05,7.17546e-06,2.15264e-05,7.17546e-06
9,32.7717,0.93386,2.47739,1.38009,0.57741,0.85,0.80689,0.61296,1.6317,1.06576,1.34516,2.40361e-05,8.01203e-06,2.40361e-05,8.01203e-06,2.40361e-05,8.01203e-06,2.40361e-05,8.01203e-06
10,34.5643,1.08417,2.92643,1.52885,0.59306,0.86667,0.85901,0.63348,1.63421,1.06382,1.34388,2.64044e-05,8.80148e-06,2.64044e-05,8.80148e-06,2.64044e-05,8.80148e-06,2.64044e-05,8.80148e-06
11,36.1826,1.19923,4.01822,1.63859,0.59772,0.86667,0.85947,0.63301,1.64301,1.0618,1.34434,2.86314e-05,9.5438e-06,2.86314e-05,9.5438e-06,2.86314e-05,9.5438e-06,2.86314e-05,9.5438e-06
12,37.7566,1.06788,2.44679,1.35662,0.59979,0.86667,0.85946,0.63315,1.64812,1.06628,1.34772,3.0717e-05,1.0239e-05,3.0717e-05,1.0239e-05,3.0717e-05,1.0239e-05,3.0717e-05,1.0239e-05
